time,s_1,s_2,s_3,v_1,v_2,v_3,a_1,a_2,a_3,theta_1,theta_2,theta_3,quaternion_1,quaternion_2,quaternion_3,quaternion_4,dcm_1,dcm_2,dcm_3,dcm_4,dcm_5,dcm_6,dcm_7,dcm_8,dcm_9,w_1,w_2,w_3,alpha_1,alpha_2,alpha_3,force_1,force_2,force_3,moments_1,moments_2,moments_3,control_signal_1,control_signal_2,control_signal_3,angular_momentum,rotational_kinetic_energy
0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,3.94664e-08,2.04496e-14,2.17014e-06,1.97332e-08,-1.11871e-14,1.08507e-06,1,1,-2.17014e-06,2.04496e-14,2.17014e-06,1,-3.94664e-08,6.5198e-14,3.94664e-08,1,1.18399e-05,-1.28875e-11,0.000651042,0.00197332,-3.10753e-09,0.108507,0,0,0,8.33333,0,83.3333,1,1,1,0.502494,0.000163056
0.06,0,0,0,0,0,0,0,0,0,9.27461e-07,8.21571e-12,5.09983e-05,4.6373e-07,-7.71687e-12,2.54991e-05,1,1,-5.09983e-05,8.21571e-12,5.09983e-05,1,-9.27461e-07,3.90832e-11,9.27461e-07,1,2.36798e-05,-7.64661e-10,0.00130208,0.000236798,-2.16582e-08,0.0130208,0,0,0,1,0,10,1,1,1,1.00499,0.000652226
0.11,0,0,0,0,0,0,0,0,0,2.40745e-06,6.13796e-11,0.000132378,1.20373e-06,-4.89839e-11,6.61892e-05,1,1,-0.000132378,6.13796e-11,0.000132378,1,-2.40745e-06,2.57315e-10,2.40745e-06,1,3.55198e-05,-2.80519e-09,0.00195312,0.000236798,-5.17292e-08,0.0130208,0,0,0,1,0,10,1,1,1,1.50748,0.00146751
0.16,0,0,0,0,0,0,0,0,0,4.47944e-06,2.23495e-10,0.000246311,2.23972e-06,-1.64086e-10,0.000123155,1,1,-0.000246311,2.23495e-10,0.000246311,1,-4.47944e-06,8.79838e-10,4.47944e-06,1,4.73597e-05,-6.77885e-09,0.00260417,0.000236798,-9.46877e-08,0.0130208,0,0,0,1,0,10,1,1,1,2.00998,0.0026089
0.21,0,0,0,0,0,0,0,0,0,7.14342e-06,5.84139e-10,0.000392795,3.57171e-06,-4.09406e-10,0.000196398,1,1,-0.000392795,5.84139e-10,0.000392795,1,-7.14342e-06,2.22176e-09,7.14342e-06,1,5.91996e-05,-1.333e-08,0.00325521,0.000236798,-1.50534e-07,0.0130208,0,0,0,1,0,10,1,1,1,2.51247,0.00407641
0.26,0,0,0,0,0,0,0,0,0,1.03994e-05,1.25848e-09,0.000571832,5.1997e-06,-8.57436e-10,0.000285916,1,1,-0.000571832,1.25848e-09,0.000571832,1,-1.03994e-05,4.68822e-09,1.03994e-05,1,7.10395e-05,-2.31031e-08,0.00390625,0.000236798,-2.19267e-07,0.0130208,0,0,0,1,0,10,1,1,1,3.01496,0.00587003
0.31,0,0,0,0,0,0,0,0,0,1.42474e-05,2.38728e-09,0.00078342,7.12369e-06,-1.59678e-09,0.00039171,1,1,-0.00078342,2.38728e-09,0.00078342,1,-1.42474e-05,8.7744e-09,1.42474e-05,1,8.28795e-05,-3.67424e-08,0.00455729,0.000236798,-3.00888e-07,0.0130208,0,0,0,1,0,10,1,1,1,3.51746,0.00798976
0.36,0,0,0,0,0,0,0,0,0,1.86873e-05,4.1369e-09,0.00102756,9.34367e-06,-2.73214e-09,0.00051378,1,0.999999,-0.00102756,4.1369e-09,0.00102756,0.999999,-1.86873e-05,1.50655e-08,1.86873e-05,1,9.47194e-05,-5.48924e-08,0.00520833,0.000236798,-3.95397e-07,0.0130208,0,0,0,1,0,10,1,1,1,4.01995,0.0104356
0.41,0,0,0,0,0,0,0,0,0,2.37193e-05,6.69929e-09,0.00130425,1.18597e-05,-4.38436e-09,0.000652127,1,0.999999,-0.00130425,6.69929e-09,0.00130425,0.999999,-2.37193e-05,2.42367e-08,2.37193e-05,1,0.000106559,-7.81973e-08,0.00585937,0.000236798,-5.02793e-07,0.0130208,0,0,0,1,0,10,1,1,1,4.52244,0.0132076
